City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,chifeng,42.2683,118.9636,286.22,42,100,2.37,CN,1695494255
292,lospalos,-8.5186,127.0025,292.39,94,52,1.18,TL,1695494255
293,lorengau,-2.0226,147.2712,300.01,83,90,2.87,PG,1695494256
294,chebarkul',54.9749,60.3633,283.14,79,15,1.87,RU,1695494256
295,mcgregor,26.5609,-81.9145,306.48,51,0,3.6,US,1695494256
296,moyale,3.5167,39.0584,299.98,38,100,3.45,KE,1695494256
297,waingapu,-9.6567,120.2641,296.84,81,83,1.17,ID,1695494256
298,gantang,26.92,119.6333,297.93,93,98,0.95,CN,1695494256
299,harstad,68.799,16.5293,281.01,94,100,1.79,NO,1695494256
300,polyarnyy,69.1989,33.4478,282.19,95,100,5.78,RU,1695494257
301,tyuratam,45.6507,63.3156,292.48,26,41,3.02,KZ,1695494257
302,tunceli,39.1083,39.5471,295.9,25,5,2.45,TR,1695494175
303,yayladagi,35.9025,36.0627,296.3,68,0,1.22,TR,1695494257
304,uturoa,-16.7333,-151.4333,296.89,84,100,12.05,PF,1695494257
305,manokwari,-0.8667,134.0833,298.39,82,99,2.65,ID,1695494257
306,eraan,9.0629,117.7016,298.7,91,100,4.79,PH,1695494257
307,horta,38.5333,-28.6333,296.95,86,75,5.66,PT,1695494258
308,rio casca,-20.2261,-42.6508,307.6,24,11,1.55,BR,1695494258
309,stettler,52.3168,-112.7186,291.34,44,14,9.85,CA,1695494258
310,dongola,19.1667,30.4833,307.86,13,99,7.42,SD,1695494258
311,maine soroa,13.2114,12.0241,307.64,27,22,4.59,NE,1695494259
312,iskateley,67.6803,53.1512,287.36,91,97,7.67,RU,1695494259
313,key largo,25.0865,-80.4473,301.15,69,100,5.07,US,1695494007
314,geraldton,-28.7667,114.6,283.38,87,40,2.57,AU,1695494259
315,ban houayxay,20.2453,100.4547,296.15,95,8,0.2,LA,1695494259
316,papatowai,-46.5619,169.4708,276.95,82,13,1.83,NZ,1695494259
317,libreville,0.3925,9.4537,300.16,83,40,3.6,GA,1695494259
318,ta`u,-14.2336,-169.5144,298.67,75,100,12.76,AS,1695494259
319,kamyzyak,46.11,48.0736,289.14,77,0,5.0,RU,1695494260
320,tomiya,38.3931,140.8861,288.79,86,8,2.16,JP,1695494260
321,baruun-urt,46.6806,113.2792,285.32,72,6,7.77,MN,1695494260
322,thinadhoo,0.5333,72.9333,301.28,76,100,4.52,MV,1695494260
323,port saint john's,-31.6229,29.5448,292.46,91,100,4.45,ZA,1695494260
324,kirakira,-10.4544,161.9205,298.38,82,100,3.41,SB,1695494260
325,port blair,11.6667,92.75,298.17,94,100,1.03,IN,1695494014
326,magadan,59.5667,150.8,277.89,78,25,1.5,RU,1695494261
327,levuka,50.1834,-105.4011,290.05,81,100,5.63,CA,1695494261
328,galliano,29.4422,-90.2992,306.48,48,100,1.54,US,1695494261
329,papao,-17.75,-149.55,295.97,94,100,11.28,PF,1695494261
330,dhidhdhoo,6.8833,73.1,300.99,78,60,4.38,MV,1695494160
331,weno,7.4515,151.8468,298.12,94,100,0.0,FM,1695494261
332,lamu,-2.2717,40.902,298.27,83,16,6.19,KE,1695494261
333,ulmeni,47.4667,23.3,295.24,80,6,1.59,RO,1695494261
334,pecos,31.4229,-103.4932,309.95,18,0,0.0,US,1695494262
335,masterton,-40.9597,175.6575,282.53,98,100,1.54,NZ,1695494262
336,sovetsk,55.0839,21.8785,287.97,96,100,2.17,RU,1695494262
337,thunder bay,48.4001,-89.3168,291.14,82,100,6.69,CA,1695494262
338,porto novo,6.4965,2.6036,300.05,83,100,2.87,BJ,1695494262
339,kyren,51.6828,102.1408,281.05,88,7,0.84,RU,1695494263
340,susuman,62.7833,148.1667,270.54,84,92,0.58,RU,1695494002
341,cabedelo,-6.9811,-34.8339,302.52,76,23,5.55,BR,1695494263
342,pocito,-31.6833,-68.5833,299.87,34,0,4.99,AR,1695494263
343,roquetas de mar,36.7642,-2.6148,298.49,60,2,5.81,ES,1695493991
344,camayenne,9.535,-13.6878,302.2,74,75,4.12,GN,1695494263
345,katsuura,35.1333,140.3,295.11,69,100,9.29,JP,1695494263
346,khorinsk,52.1657,109.7726,283.37,95,100,1.63,RU,1695494263
347,las cruces,32.3123,-106.7783,306.82,21,0,4.63,US,1695494022
348,nouadhibou,20.931,-17.0347,298.14,69,6,7.2,MR,1695494264
349,nuku'alofa,-21.1333,-175.2,294.34,78,40,7.2,TO,1695494264
350,khash,28.2211,61.2158,290.92,16,5,2.98,IR,1695494265
351,homer,59.6425,-151.5483,281.08,89,0,2.68,US,1695494121
352,lakhdenpokh'ya,61.5198,30.1992,288.45,97,100,3.38,RU,1695494265
353,kingston,17.997,-76.7936,306.68,71,20,7.72,JM,1695494266
354,tamanrasset,22.785,5.5228,305.1,11,40,2.57,DZ,1695494266
355,edd,13.9297,41.6925,304.95,76,27,2.67,ER,1695494266
356,turkmenbasy,40.0222,52.9552,296.58,21,0,5.14,TM,1695494266
357,marsh harbour,26.5412,-77.0636,297.06,91,100,5.65,BS,1695494112
358,saudarkrokur,65.7461,-19.6394,276.75,94,100,1.26,IS,1695494266
359,kavieng,-2.5744,150.7967,300.44,80,17,4.57,PG,1695494266
360,shchuchinsk,52.9333,70.2,278.84,65,96,2.36,KZ,1695494266
361,mount pearl,47.5166,-52.7813,290.45,67,75,10.8,CA,1695494063
362,omdurman,15.6445,32.4777,312.99,15,88,2.32,SD,1695494120
363,magong,23.5654,119.5863,300.48,90,8,2.34,TW,1695494267
364,gouyave,12.1646,-61.7296,303.58,74,20,6.69,GD,1695494267
